Location,code,name,commodity,metal,ctype,current_wt,inbound_wt,outbound_wt,opening_wt,avg_cost,opening_value_est,flag
Merrillville,Pwtr,Pewter,BRASS TIER 2,BRASS,NON_FERROUS,17.0,0.0,0.0,17.0,3.18,54.06,
Merrillville,SvrPBr,Silver Plated Brass,BRASS TIER 2,BRASS,NON_FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,CU00001,#1 COPPER,COPPER TIER 1,COPPER,NON_FERROUS,2549.0,0.0,21767.0,24316.0,4.89,118985.48,
Merrillville,CU00002,#2 COPPER,COPPER TIER 1,COPPER,NON_FERROUS,1569.0,0.0,8653.0,10222.0,4.8,49045.16,
Merrillville,CU00003,#3 COPPER,COPPER TIER 1,COPPER,NON_FERROUS,290.0,0.0,296.0,586.0,3.42,2002.42,
Merrillville,CU0003MICA,#3 Cu MICA 98%,COPPER TIER 1,COPPER,NON_FERROUS,0.0,0.0,418.0,418.0,,,
Merrillville,CUBB001,BARE BRIGHT COPPER,COPPER TIER 1,COPPER,NON_FERROUS,3911.0,0.0,51020.0,54931.0,4.64,254649.13,
Merrillville,BrCuSds,Beryllium Copper Solids,COPPER TIER 1,COPPER,NON_FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,CUBSBR,CU BUSS BAR,COPPER TIER 1,COPPER,NON_FERROUS,145.0,0.0,1030.0,1175.0,3.95,4645.13,
Merrillville,SVPBB,SILVER PLTD BUSS BAR,COPPER TIER 1,COPPER,NON_FERROUS,0.0,0.0,2151.0,2151.0,,,
Merrillville,SvPtCu,Silver Plated Copper,COPPER TIER 1,COPPER,NON_FERROUS,10.0,0.0,0.0,10.0,2.0,20.0,
Merrillville,TCUBSBR,TIN PLATED BUSBAR,COPPER TIER 1,COPPER,NON_FERROUS,0.0,0.0,664.0,664.0,,,
Merrillville,TNPDCWR,TIN PLTD COPPER WIRE,COPPER TIER 1,COPPER,NON_FERROUS,0.0,0.0,6138.0,6138.0,,,
Merrillville,CUIN160,#1 ICW 60%,COPPER TIER 2,COPPER,NON_FERROUS,1720.0,0.0,5820.0,7540.0,3.05,23033.95,
Merrillville,ICW80,#1 ICW 80%,COPPER TIER 2,COPPER,NON_FERROUS,1930.0,0.0,23710.0,25640.0,3.65,93562.92,
Merrillville,CUIN185,#1 ICW 85%,COPPER TIER 2,COPPER,NON_FERROUS,156.0,0.0,0.0,156.0,3.35,522.3,
Merrillville,CUIN188,#1 ICW 88%,COPPER TIER 2,COPPER,NON_FERROUS,1880.0,0.0,19340.0,21220.0,3.57,75855.13,
Merrillville,CUIN190,#1 ICW 90%,COPPER TIER 2,COPPER,NON_FERROUS,1085.0,0.0,0.0,1085.0,3.43,3717.86,
Merrillville,CUIN220,#2 ICW 20% - CHRISTMAS LIGHTS,COPPER TIER 2,COPPER,NON_FERROUS,65.0,0.0,680.0,745.0,0.2,149.0,
