code,name,commodity,metal,ctype,qty_lbs,unit_value,price_source,value_usd,weight_by_value_pct,weight_by_qty_pct
380PTDNC,380 PTD NEW CAST,ALUMINUM,ALUMINUM,NON_FERROUS,6156.0,1.13,sale (recent),6943.97,0.26,0.1
CUBSBR,CU BUSS BAR,COPPER TIER 1,COPPER,NON_FERROUS,1175.0,5.73,sale (recent),6732.75,0.25,0.02
ALMDROSS,ZZ DO NOT USE - ALUMINUM DROSS,ALUMINUM,ALUMINUM,NON_FERROUS,15121.0,0.45,sale (YTD),6804.45,0.25,0.24
FE0DEAT,AUTO BODY - COMPLETE,STEEL,STEEL,FERROUS,73960.0,0.09,purchase (YTD),6737.76,0.25,1.18
CUIN265,#2 ICW 65%,COPPER TIER 2,COPPER,NON_FERROUS,1924.0,3.44,sale (recent),6625.29,0.24,0.03
ALBRZ,ALUMINUM/BRONZE,ALUMINUM,ALUMINUM,NON_FERROUS,1743.0,3.68,sale (YTD),6414.24,0.24,0.03
ALUBREAK,ALUMINUM BREAK,ALUMINUM,ALUMINUM,NON_FERROUS,45678.0,0.14,sale (YTD),6312.7,0.23,0.73
CU00003,#3 COPPER,COPPER TIER 1,COPPER,NON_FERROUS,1101.0,5.17,sale (recent),5692.17,0.21,0.02
CUIN235,#2 ICW 35%,COPPER TIER 2,COPPER,NON_FERROUS,3392.0,1.63,sale (recent),5528.96,0.2,0.05
BREDMC,EDM CHOPS,BRASS TIER 2,BRASS,NON_FERROUS,1640.0,3.3,sale (YTD),5412.0,0.2,0.03
AL0BECW,ZZ DO NOT USE - AL BARE EC WIRE,ALUMINUM,ALUMINUM,NON_FERROUS,2780.0,1.94,sale (YTD),5382.08,0.2,0.04
AL00UBC,ALUMINUM CANS,ALUMINUM,ALUMINUM,NON_FERROUS,6144.0,0.8,sale (recent),4915.2,0.18,0.1
316SSO,316 STAINLESS STEEL OVERSIZED,STAINLESS STEEL TIER 1,STAINLESS STEEL,NON_FERROUS,6900.0,0.68,avg cost,4709.25,0.17,0.11
NI174BO,17-4 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 1,STAINLESS STEEL,NON_FERROUS,31048.0,0.14,sale (recent),4253.58,0.16,0.49
CU TRANS,COPPER TRANSFORMERS,COPPER TIER 3,COPPER,NON_FERROUS,4493.0,0.9,sale (recent),4043.7,0.15,0.07
TCUBSBR,TIN PLATED BUSBAR,COPPER TIER 1,COPPER,NON_FERROUS,737.0,5.42,sale (recent),3994.54,0.15,0.01
CUIN190,#1 ICW 90%,COPPER TIER 2,COPPER,NON_FERROUS,1085.0,3.43,avg cost,3717.86,0.14,0.02
7030BR,70/30 Brass Shells,BRASS TIER 2,BRASS,NON_FERROUS,1074.0,3.58,sale (recent),3841.81,0.14,0.02
ALCURAEND,ACR AL/CU RADIATOR ENDS,ALUMINUM,ALUMINUM,NON_FERROUS,2809.0,1.38,sale (YTD),3862.94,0.14,0.04
CASTAL356,AL CAST - 356,ALUMINUM,ALUMINUM,NON_FERROUS,2761.0,1.25,sale (recent),3438.0,0.13,0.04
ALBRKG,ZZ DO NOT USE ALUMINUM BREAKAGE,ALUMINUM,ALUMINUM,NON_FERROUS,11012.0,0.32,sale (YTD),3571.19,0.13,0.18
OXEDMWR,OXIDIZED EDM WIRE,BRASS TIER 1,BRASS,NON_FERROUS,976.0,3.4,sale (recent),3318.4,0.12,0.02
380NCAL,380 BARE NEW CAST ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,2620.0,1.21,sale (recent),3159.2,0.12,0.04
409SS,409 STAINLESS,STAINLESS STEEL TIER 1,STAINLESS STEEL,NON_FERROUS,6707.0,0.5,sale (recent),3353.5,0.12,0.11
ALTHERMEX,ALUMINUM THERMAL EXT,ALUMINUM,ALUMINUM,NON_FERROUS,3584.0,0.88,sale (YTD),3162.52,0.12,0.06
ICWHARWIR,ICW HARNESS WIRE,COPPER TIER 2,COPPER,NON_FERROUS,1440.0,2.29,sale (YTD),3297.6,0.12,0.02
CUELMOL,ELECTRIC MOTORS - LARGE,COPPER TIER 3,COPPER,NON_FERROUS,5373.0,0.57,sale (recent),3062.61,0.11,0.09
LEFECAS,STEEL CASED BATTERIES,LEAD,LEAD,NON_FERROUS,10660.0,0.29,sale (YTD),3064.75,0.11,0.17
OCAL5,OLD CAST AL 5% FE,ALUMINUM,ALUMINUM,NON_FERROUS,4072.0,0.75,sale (YTD),3054.0,0.11,0.06
 ALBZTS1,ALUMINUM BRONZE TURNINGS,ALUMINUM,ALUMINUM,NON_FERROUS,974.0,3.18,sale (YTD),3097.32,0.11,0.02
CUIN280,#2 ICW 80%,COPPER TIER 2,COPPER,NON_FERROUS,720.0,3.79,sale (YTD),2728.8,0.1,0.01
CUMOD,ELECTRIC MOTORS - FE,COPPER TIER 3,COPPER,NON_FERROUS,5934.0,0.47,sale (YTD),2788.98,0.1,0.09
CUALTER,ALTERNATORS,COPPER TIER 3,COPPER,NON_FERROUS,2438.0,1.15,sale (recent),2803.7,0.1,0.04
ALTRANSF,ALUM TRANSFORMERS,ALUMINUM,ALUMINUM,NON_FERROUS,9081.0,0.25,sale (recent),2270.25,0.08,0.14
ALUMBRECWR,ALUM BARE EC WIRE,ALUMINUM,ALUMINUM,NON_FERROUS,1038.0,2.2,sale (recent),2283.6,0.08,0.02
ALWHLCR,CHROME RIMS,ALUMINUM,ALUMINUM,NON_FERROUS,2403.0,0.89,sale (YTD),2138.67,0.08,0.04
ALCURFE,AL/CU RADIATORS - FE,ALUMINUM,ALUMINUM,NON_FERROUS,1828.0,1.15,purchase (YTD),2101.47,0.08,0.03
CU0003MICA,#3 Cu MICA 98%,COPPER TIER 1,COPPER,NON_FERROUS,418.0,5.17,sale (recent),2161.06,0.08,0.01
OPNEYHLXCU,ZZ DO NOT USE HELIAX,COPPER TIER 2,COPPER,NON_FERROUS,780.0,2.57,sale (recent),2004.6,0.07,0.01
CUSTART,STARTERS,COPPER TIER 3,COPPER,NON_FERROUS,2123.0,0.9,sale (recent),1910.7,0.07,0.03
CUBALST,BALLAST,COPPER TIER 3,COPPER,NON_FERROUS,4061.0,0.44,sale (recent),1786.84,0.07,0.06
MO2RE2,MO2-RE2,STAINLESS STEEL TIER 2,STAINLESS STEEL,NON_FERROUS,884.0,2.12,avg cost,1877.97,0.07,0.01
NITOOLS,TOOL STEEL,STAINLESS STEEL TIER 2,STAINLESS STEEL,NON_FERROUS,100.0,20.0,sale (recent),2000.0,0.07,0.0
ACUT,FULL A/C UNIT,STEEL,STEEL,FERROUS,12877.0,0.15,purchase (YTD),1931.55,0.07,0.2
SOFLEA,SOFT LEAD,LEAD,LEAD,NON_FERROUS,2103.0,0.8,sale (recent),1682.4,0.06,0.03
Al01100,1100 SERIES,ALUMINUM,ALUMINUM,NON_FERROUS,687.0,2.2,sale (recent),1511.4,0.06,0.01
6061PTDSPCAL,6061 PAINTED SPC,ALUMINUM,ALUMINUM,NON_FERROUS,1398.0,1.22,sale (recent),1705.56,0.06,0.02
319ALFLASHING,319 AL FLASHINGS ,ALUMINUM,ALUMINUM,NON_FERROUS,2670.0,0.6,sale (recent),1614.82,0.06,0.04
ALMFLASH,ZZZ DO NOT USE - ALUMINUM FLASHINGS - 319,ALUMINUM,ALUMINUM,NON_FERROUS,2880.0,0.56,sale (YTD),1612.8,0.06,0.05
IrYwBr,Irony Yellow Brass,BRASS TIER 1,BRASS,NON_FERROUS,1080.0,1.35,avg cost,1454.87,0.05,0.02
ACPUM,AC PUMPS,OTHER,OTHER,Other,2013.0,0.7,sale (recent),1409.1,0.05,0.03
