yard,code,name,commodity,metal,wt,cost,price,src,mkt
Merrillville,ALMTRNG,ZZ DO NOT USE - ALUMINUM TURNINGS,ALUMINUM,ALUMINUM,1119.0,223.8447,0.7846,YTD sale,877.97
Milton,ALMTRNG,ZZ DO NOT USE - ALUMINUM TURNINGS,ALUMINUM,ALUMINUM,0.0,0.0,0.7846,YTD sale,0.0
Merrillville,ALBRKG,ZZ DO NOT USE ALUMINUM BREAKAGE,ALUMINUM,ALUMINUM,0.0,0.0,0.3243,YTD sale,0.0
Milton,ALBRKG,ZZ DO NOT USE ALUMINUM BREAKAGE,ALUMINUM,ALUMINUM,0.0,0.0,0.3243,YTD sale,0.0
Merrillville,AL0CAST,ZZ DO NOT USE CAST ALUMINUM,ALUMINUM,ALUMINUM,0.0,0.0,0.3,avg cost,0.0
Milton,AL0CAST,ZZ DO NOT USE CAST ALUMINUM,ALUMINUM,ALUMINUM,0.0,0.0,0.3,avg cost,0.0
Milton,ALMFLASH,ZZZ DO NOT USE - ALUMINUM FLASHINGS - 319,ALUMINUM,ALUMINUM,0.0,0.0,0.56,YTD sale,0.0
Milton,DRTYBRS,DIRTY BRASS,BRASS TIER 1,BRASS,536.0,438.5707,0.4822,purchase,258.47
Merrillville,DPBr,Dirty Plumbers Brass,BRASS TIER 1,BRASS,17.0,8.5,0.5411,avg cost,9.2
Milton,DPBr,Dirty Plumbers Brass,BRASS TIER 1,BRASS,0.0,0.0,0.5411,avg cost,0.0
Merrillville,EDMW,EDM WIRE ,BRASS TIER 1,BRASS,366.0,805.2,3.6015,recent sale,1318.14
Milton,EDMW,EDM WIRE ,BRASS TIER 1,BRASS,365.0,610.6622,3.6015,recent sale,1314.54
Merrillville,IyRdBr,Irony Red Brass,BRASS TIER 1,BRASS,0.0,0.0,0.0,,0.0
Merrillville,IrYwBr,Irony Yellow Brass,BRASS TIER 1,BRASS,1080.0,1454.8839,1.0682,avg cost,1153.69
Milton,IrYwBr,Irony Yellow Brass,BRASS TIER 1,BRASS,0.0,0.0,1.0682,avg cost,0.0
Milton,BRFAUC,LOW GRADE FAUCET BRASS,BRASS TIER 1,BRASS,199.0,123.2625,0.5563,purchase,110.7
Milton,OXEDMWR,OXIDIZED EDM WIRE,BRASS TIER 1,BRASS,290.0,435.5154,3.4,recent sale,986.0
Milton,RDBM,RED BALL MILL,BRASS TIER 1,BRASS,0.0,0.0,0.0,,0.0
Merrillville,BRREDSD,RED BRASS SOLIDS,BRASS TIER 1,BRASS,1145.0,3266.3069,3.7688,recent sale,4315.33
Milton,BRREDSD,RED BRASS SOLIDS,BRASS TIER 1,BRASS,37.0,101.05,3.7688,recent sale,139.45
Merrillville,BR360BO,RED BRASS TURNINGS,BRASS TIER 1,BRASS,40.0,112.0,2.8,avg cost,112.0
Milton,BR360BO,RED BRASS TURNINGS,BRASS TIER 1,BRASS,0.0,0.0,2.8,avg cost,0.0
Merrillville,SEMREBR,SEMI RED BRASS,BRASS TIER 1,BRASS,0.0,0.0,4.4072,recent sale,0.0
Milton,SEMREBR,SEMI RED BRASS,BRASS TIER 1,BRASS,0.0,0.0,4.4072,recent sale,0.0
Milton,YELBM,YELLOW BALL MILL,BRASS TIER 1,BRASS,0.0,0.0,0.0,,0.0
Merrillville,BRSHEL,YELLOW BRASS SHELLS,BRASS TIER 1,BRASS,0.0,0.0,1.6208,avg cost,0.0
Milton,BRSHEL,YELLOW BRASS SHELLS,BRASS TIER 1,BRASS,15.0,22.95,1.6208,avg cost,24.31
Merrillville,BRYELLO,YELLOW BRASS SOLIDS,BRASS TIER 1,BRASS,1475.0,3760.7132,3.5409,recent sale,5222.87
Milton,BRYELLO,YELLOW BRASS SOLIDS,BRASS TIER 1,BRASS,1082.0,1688.0786,3.5409,recent sale,3831.29
Merrillville,BRINDBT,YELLOW BRASS TURNINGS,BRASS TIER 1,BRASS,97.0,178.4072,1.8226,purchase,176.79
Milton,BRINDBT,YELLOW BRASS TURNINGS,BRASS TIER 1,BRASS,0.0,0.0,1.8226,purchase,0.0
Milton,BR00230,230 BRASS SOLIDS,BRASS TIER 2,BRASS,0.0,0.0,0.0,,0.0
Milton,360BS,360 BRASS SOLIDS,BRASS TIER 2,BRASS,69.0,235.98,2.7,YTD sale,186.3
Milton,360 brass turnings,360 BRASS TURNINGS,BRASS TIER 2,BRASS,344.0,842.8,3.29,recent sale,1131.76
Milton,6040NAVBR,60/40 NAVAL BRASS,BRASS TIER 2,BRASS,0.0,0.0,0.0,,0.0
Merrillville,7030BR,70/30 Brass Shells,BRASS TIER 2,BRASS,192.0,441.6,3.5771,recent sale,686.8
Merrillville,BRAUTOR,BRASS AUTO RADIATORS - CLEAN,BRASS TIER 2,BRASS,160.0,206.5,1.59,purchase,254.4
Milton,BRAUTOR,BRASS AUTO RADIATORS - CLEAN,BRASS TIER 2,BRASS,289.0,430.4603,1.59,purchase,459.51
Merrillville,BRAUTOF,BRASS AUTO RADIATORS - FE,BRASS TIER 2,BRASS,221.0,201.7473,0.731,avg cost,161.54
