Material Name,Material Code,Commodity Name,Hold Total,Total Wip Weight,Total Wip Cost,Total FG Weight,Total FG Cost,Total Net Weight,Total Cost,Average Cost,Commodity Type
MAGNESIUM TURNINGS,MGNSMTRNS,OTHER,0,2875,28.7500,13870,286.1253,16745,314.8753,0.0188,Other
MIXED ALUMINUM,MXDAL,ALUMINUM,0,220,77.9000,0,0,220,77.9000,0.3541,NON_FERROUS
MIXED BRASS,MIXBR,BRASS TIER 2,0,227,228.4286,0,0,227,228.4286,1.0063,NON_FERROUS
MIXED BRASS ALUM SPILLS,MXBRAL,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
MIXED STAINLESS STEEL,MIXSS,STAINLESS STEEL TIER 2,0,646,32.3000,0,0,646,32.3000,0.0500,NON_FERROUS
MONEL,NIMONEL,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
MONEL TURNINGS,MNT,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
NICKEL,NI00001,STAINLESS STEEL TIER 2,0,41,41.0000,0,0,41,41.0000,1.0000,NON_FERROUS
OILY FLASHINGS,OLYFLA,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
OLD CAST AL,OLCAAL,ALUMINUM,0,2,0.5000,0,0,2,0.5000,0.2500,NON_FERROUS
OLD CAST AL 5% FE,OCAL5,ALUMINUM,0,0,0,1895,663.2500,1895,663.2500,0.3500,NON_FERROUS
OVERSIZED MACHINERY,OVSZMAC,STEEL,0,59560,1640.9020,0,0,59560,1640.9020,0.0276,FERROUS
OXIDIZED EDM WIRE,OXEDMWR,BRASS TIER 1,0,290,435.5154,0,0,290,435.5154,1.5018,NON_FERROUS
PAINTED BUSH,PTDBUSH,STEEL,0,0,0,0,0,0,0,0,FERROUS
PHOS BRONZE SOLIDS,BR0PHOS,BRASS TIER 2,0,20,40.0000,0,0,20,40.0000,2.0000,NON_FERROUS
PLATE & STRUCTUAL,INDP&S,STEEL,0,45346,3595.4804,0,0,45346,3595.4804,0.0793,FERROUS
PLUG ENDS,ELPLUG,OTHER,0,41,1.6400,0,0,41,1.6400,0.0400,Other
"PREMIUM ELECTRIC MOTORS ",PRELMTR,COPPER TIER 3,0,143,8.5800,0,0,143,8.5800,0.0600,NON_FERROUS
PTD 5052 ALUMINUM,PTD5052,ALUMINUM,0,9,13.5000,0,0,9,13.5000,1.5000,NON_FERROUS
RANGE LEAD,LERANGE,LEAD,0,0,0,0,0,0,0,0,NON_FERROUS
REBAR,REBAR,STEEL,0,5302,315.6265,0,0,5302,315.6265,0.0595,FERROUS
RED BALL MILL,RDBM,BRASS TIER 1,0,0,0,0,0,0,0,0,NON_FERROUS
RED BRASS SOLIDS,BRREDSD,BRASS TIER 1,0,37,101.0500,0,0,37,101.0500,2.7311,NON_FERROUS
