date,lme_al_cw
2022-09-12,22.96
2022-09-13,22.27
2022-09-14,20.98
2022-09-15,20.26
2022-09-16,19.8
2022-09-19,19.56
2022-09-20,19.49
2022-09-21,18.85
2022-09-22,18.54
2022-09-23,18.82
2022-09-26,19.45
2022-09-27,19.02
2022-09-28,18.91
2022-09-29,21.79
2022-09-30,21.34
2022-10-03,20.83
2022-10-04,20.53
2022-10-05,19.91
2022-10-06,19.23
2022-10-07,18.31
2022-10-10,17.62
2022-10-11,16.64
2022-10-12,15.66
2022-10-13,13.73
2022-10-14,11.57
2022-10-17,9.25
2022-10-18,7.59
2022-10-19,6.2
2022-10-20,23.73
2022-10-21,42.44
2022-10-24,42.21
2022-10-25,41.75
2022-10-26,41.5
2022-10-27,40.53
2022-10-28,40.22
2022-10-31,40.09
2022-11-01,43.08
2022-11-02,43.35
2022-11-03,43.04
2022-11-04,42.78
2022-11-07,43.44
2022-11-08,43.35
2022-11-09,42.84
2022-11-10,42.4
2022-11-11,41.76
2022-11-14,41.19
2022-11-15,41.1
2022-11-16,40.56
2022-11-17,40.03
2022-11-18,39.77
2022-11-21,43.27
2022-11-22,44.97
2022-11-23,44.57
2022-11-24,44.57
2022-11-25,44.22
2022-11-28,44.03
2022-11-29,44.46
2022-11-30,45.22
2022-12-01,50.0
2022-12-02,54.08
2022-12-05,54.32
2022-12-06,54.15
2022-12-07,53.68
2022-12-08,53.08
2022-12-09,52.5
2022-12-12,47.9
2022-12-13,47.35
2022-12-14,46.59
2022-12-15,45.81
2022-12-16,45.26
2022-12-19,45.02
2022-12-20,50.33
2022-12-21,50.63
2022-12-22,50.68
2022-12-26,51.3
2022-12-27,51.3
2022-12-28,50.79
2022-12-29,55.59
2023-01-02,55.29
2023-01-03,54.98
2023-01-04,54.49
2023-01-05,53.87
2023-01-06,53.26
2023-01-09,52.54
2023-01-10,52.46
2023-01-11,52.73
2023-01-12,53.0
2023-01-16,52.41
2023-01-17,51.89
2023-01-18,52.08
2023-01-19,51.52
2023-01-20,50.92
2023-01-23,50.24
2023-01-24,48.98
2023-01-25,48.98
2023-01-26,44.05
2023-01-27,43.53
2023-01-30,43.85
2023-01-31,43.26
2023-02-01,42.81
2023-02-02,42.16
2023-02-03,42.85
2023-02-06,42.56
2023-02-07,43.22
2023-02-08,33.58
2023-02-09,32.87
2023-02-10,32.37
2023-02-13,26.44
2023-02-14,24.48
2023-02-15,24.65
2023-02-16,24.38
2023-02-20,22.88
2023-02-21,22.29
2023-02-22,21.31
2023-02-23,21.31
2023-02-24,20.68
2023-02-27,20.68
2023-02-28,20.04
2023-03-01,20.06
2023-03-02,19.76
2023-03-03,19.35
2023-03-06,18.89
2023-03-07,18.84
2023-03-08,20.11
2023-03-09,19.65
2023-03-10,22.12
2023-03-13,21.42
2023-03-14,20.39
2023-03-15,19.71
2023-03-16,19.83
2023-03-17,20.72
2023-03-20,20.01
2023-03-21,19.55
2023-03-22,20.21
2023-03-23,19.88
2023-03-24,19.85
2023-03-27,19.73
2023-03-28,18.78
2023-03-29,18.4
2023-03-30,17.79
2023-03-31,18.06
2023-04-03,19.87
2023-04-04,19.49
2023-04-05,19.21
2023-04-07,18.45
2023-04-10,18.45
2023-04-11,17.8
2023-04-12,15.69
2023-04-13,15.08
2023-04-14,14.64
2023-04-17,14.27
2023-04-18,12.72
2023-04-19,12.25
2023-04-20,12.01
2023-04-21,11.66
2023-04-24,13.28
2023-04-25,13.1
2023-04-26,12.78
2023-04-27,12.73
2023-04-28,13.51
2023-05-01,13.51
2023-05-02,13.16
2023-05-03,12.7
2023-05-04,12.49
2023-05-05,12.96
2023-05-08,12.96
2023-05-09,12.88
2023-05-10,11.38
2023-05-11,34.63
2023-05-12,34.57
2023-05-15,34.35
2023-05-16,33.54
2023-05-17,32.77
2023-05-18,32.57
2023-05-19,32.43
2023-05-22,32.4
2023-05-23,30.85
2023-05-24,30.83
2023-05-25,30.8
2023-05-29,31.67
2023-05-30,31.46
2023-05-31,31.41
2023-06-01,33.3
2023-06-02,42.06
2023-06-05,44.51
2023-06-06,45.4
2023-06-07,45.33
2023-06-08,45.63
2023-06-09,44.49
2023-06-12,45.46
2023-06-13,46.04
2023-06-14,45.89
2023-06-15,45.54
2023-06-19,45.41
2023-06-20,45.06
2023-06-21,44.96
2023-06-22,45.1
2023-06-23,46.36
2023-06-26,46.56
2023-06-27,51.74
2023-06-28,51.76
2023-06-29,51.48
2023-06-30,50.02
2023-07-04,50.05
2023-07-05,49.62
2023-07-06,49.38
2023-07-07,48.93
2023-07-10,48.64
2023-07-11,48.67
2023-07-12,48.31
2023-07-13,47.23
2023-07-14,47.11
2023-07-17,46.34
2023-07-18,45.98
2023-07-19,46.25
2023-07-20,45.88
2023-07-21,46.15
2023-07-24,45.83
2023-07-25,45.03
2023-07-26,44.74
2023-07-27,44.34
2023-07-28,44.22
2023-07-31,44.25
2023-08-01,44.42
2023-08-02,44.11
2023-08-03,44.52
2023-08-04,44.83
2023-08-07,44.61
2023-08-08,44.34
2023-08-09,43.9
2023-08-10,43.39
2023-08-11,43.12
2023-08-14,42.92
2023-08-15,42.72
2023-08-16,42.46
2023-08-17,43.54
2023-08-18,58.76
2023-08-21,57.52
2023-08-22,53.46
2023-08-23,53.18
2023-08-24,53.9
2023-08-25,56.18
2023-08-28,56.18
2023-08-29,56.0
2023-08-30,55.04
2023-08-31,55.95
2023-09-04,55.5
2023-09-05,54.56
2023-09-06,54.9
2023-09-07,53.66
2023-09-08,54.26
2023-09-11,53.92
2023-09-12,53.77
2023-09-13,53.34
2023-09-14,52.16
2023-09-15,51.66
2023-09-18,51.89
2023-09-19,51.51
2023-09-20,51.15
2023-09-21,52.2
2023-09-22,57.56
2023-09-25,55.36
2023-09-26,55.21
2023-09-27,54.69
2023-09-28,54.29
2023-09-29,64.23
2023-10-02,64.21
2023-10-03,61.71
2023-10-04,61.56
2023-10-05,61.41
2023-10-09,61.0
2023-10-10,60.76
2023-10-11,60.76
2023-10-12,60.6
2023-10-13,60.44
2023-10-16,60.27
2023-10-17,60.1
2023-10-18,58.7
2023-10-19,58.5
2023-10-20,58.33
2023-10-23,58.16
2023-10-24,57.99
2023-10-25,57.86
2023-10-26,57.66
2023-10-27,57.43
2023-10-30,57.25
2023-10-31,57.07
2023-11-01,56.89
2023-11-02,56.7
2023-11-03,56.52
2023-11-06,56.33
2023-11-07,56.09
2023-11-08,55.85
2023-11-09,55.61
2023-11-10,52.48
2023-11-13,57.32
2023-11-14,56.39
2023-11-15,56.18
2023-11-16,56.0
2023-11-17,55.81
2023-11-20,55.63
2023-11-21,55.22
2023-11-23,57.69
2023-11-24,57.47
2023-11-27,57.29
2023-11-28,56.93
2023-11-29,56.6
2023-11-30,57.22
2023-12-01,56.75
2023-12-04,55.83
2023-12-05,55.16
2023-12-06,55.3
2023-12-07,54.91
2023-12-08,53.44
2023-12-11,54.05
2023-12-12,53.64
2023-12-13,53.28
2023-12-14,52.74
2023-12-15,53.71
2023-12-18,46.44
2023-12-19,45.04
2023-12-20,44.41
2023-12-21,43.85
2023-12-25,37.91
2023-12-26,37.91
2023-12-27,37.22
2023-12-28,35.37
2024-01-01,35.14
2024-01-02,33.92
2024-01-03,33.71
2024-01-04,33.29
2024-01-05,32.95
2024-01-08,31.68
2024-01-09,35.96
2024-01-10,36.4
2024-01-11,36.75
2024-01-15,36.17
2024-01-16,36.71
2024-01-17,36.42
2024-01-18,36.53
2024-01-19,37.66
2024-01-22,38.56
2024-01-23,38.2
2024-01-24,38.05
2024-01-25,37.33
2024-01-26,36.65
2024-01-29,36.17
2024-01-30,37.45
2024-01-31,40.74
2024-02-01,40.52
2024-02-02,40.28
2024-02-05,40.02
2024-02-06,39.52
2024-02-07,38.92
2024-02-08,38.45
2024-02-09,38.21
2024-02-12,38.01
2024-02-13,38.05
2024-02-14,38.23
2024-02-15,36.91
2024-02-19,34.99
2024-02-20,33.27
2024-02-21,32.75
2024-02-22,34.03
2024-02-23,34.53
2024-02-26,34.18
2024-02-27,34.17
2024-02-28,33.57
2024-02-29,33.85
2024-03-01,39.52
2024-03-04,39.23
2024-03-05,39.53
2024-03-06,39.77
2024-03-07,39.78
2024-03-08,39.75
2024-03-11,39.59
2024-03-12,39.38
2024-03-13,38.09
2024-03-14,38.01
2024-03-15,38.67
2024-03-18,38.59
2024-03-19,38.43
2024-03-20,39.21
2024-03-21,39.2
2024-03-22,39.1
2024-03-25,39.07
2024-03-26,38.65
2024-03-27,38.47
2024-03-29,38.24
2024-04-01,38.24
2024-04-02,37.94
2024-04-03,39.69
2024-04-04,39.19
2024-04-05,39.08
2024-04-08,38.96
2024-04-09,38.65
2024-04-10,38.27
2024-04-11,37.99
2024-04-12,37.91
