Location,Material Code,Material Name,Commodity Name,Commodity Type,Total Wip Weight,Total FG Weight,Total Net Weight,Total Wip Cost,Total FG Cost,Total Cost,Average Cost
Merrillville,AL0RDFE,ALUMINUM RADIATORS - FE,ALUMINUM,NON_FERROUS,1010,0,1010,295.4659,0,295.4659,0.2925
Milton,AL0RDFE,ALUMINUM RADIATORS - FE,ALUMINUM,NON_FERROUS,1877,0,1877,274.7847,0,274.7847,0.1464
Merrillville,ALWHEEL,ALUMINUM RIMS,ALUMINUM,NON_FERROUS,330,2666,2996,235.8974,1872.1749,2108.0723,0.7036
Milton,ALWHEEL,ALUMINUM RIMS,ALUMINUM,NON_FERROUS,145,0,145,72.5000,0,72.5000,0.5000
Milton,ALSKMS,ALUMINUM SPILLS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,ALTHERMEX,ALUMINUM THERMAL EXT,ALUMINUM,NON_FERROUS,754,1666,2420,444.9456,949.0544,1394.0000,0.5760
Milton,ALTHERMEX,ALUMINUM THERMAL EXT,ALUMINUM,NON_FERROUS,737,505,1242,236.9000,174.6861,411.5861,0.3314
Merrillville,ALTRSTK,ALUMINUM TRAILER STOCK,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,ALBRZ,ALUMINUM/BRONZE,ALUMINUM,NON_FERROUS,842,0,842,1925.8552,0,1925.8552,2.2872
Milton,ALBRZ,ALUMINUM/BRONZE,ALUMINUM,NON_FERROUS,381,0,381,880.7000,0,880.7000,2.3115
Merrillville,PMLC,Aluminum Painted MLC,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,PMLC,Aluminum Painted MLC,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,CASAL,CAST AL,ALUMINUM,NON_FERROUS,14,0,14,4.2000,0,4.2000,0.3000
Milton,CASAL,CAST AL,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,ALWHLCR,CHROME RIMS,ALUMINUM,NON_FERROUS,279,474,753,106.2181,229.7667,335.9848,0.4462
Milton,ALWHLCR,CHROME RIMS,ALUMINUM,NON_FERROUS,612,547,1159,183.6000,250.7518,434.3518,0.3748
Merrillville,CCAL,CLEAN CAST ALUMINUM,ALUMINUM,NON_FERROUS,747,1466,2213,309.0505,595.1075,904.1580,0.4086
Milton,CCAL,CLEAN CAST ALUMINUM,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,CUALTRNMX,COPPER / AL TURNINGS MIX,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
